matched_title,total_sentiment_score,Weekend_of,comment_count,post_count,Gross,TotalGross,%LW,post_density,comment_density,comment_post_ratio,total_posts,total_comments
Asteroid City,48.036000000000008,2023-06-16,75.0,1,853382,853382,0.0,0.034482758620689655,0.0078068075361715419,75.0,29,9607.0
Elemental,172.07999999999998,2023-06-16,2069.0,10,29602429,29602429,0.0,0.34482758620689657,0.21536379723118559,206.9,29,9607.0
The Blackening,13.940000000000001,2023-06-16,227.0,5,6013131,6013131,0.0,0.17241379310344829,0.023628604142812534,45.4,29,9607.0
The Flash,127.26099999999998,2023-06-16,7236.0,13,55043679,55043679,0.0,0.44827586206896552,0.75320079108983029,556.61538461538464,29,9607.0
Asteroid City,143.57199999999997,2023-06-23,1836.0,9,9053265,10267979,9.61,0.33333333333333331,0.632013769363167,204.0,27,2905.0
Elemental,283.04799999999994,2023-06-23,316.0,6,18444461,65496376,-0.38,0.22222222222222221,0.10877796901893287,52.666666666666664,27,2905.0
No Hard Feelings,51.241000000000007,2023-06-23,644.0,7,15002770,15002770,0.0,0.25925925925925924,0.22168674698795179,92.0,27,2905.0
The Blackening,31.694999999999997,2023-06-23,5.0,1,3045136,12286841,-0.49,0.037037037037037035,0.0017211703958691911,5.0,27,2905.0
The Flash,504.33499999999987,2023-06-23,104.0,4,15142078,87520581,-0.72,0.14814814814814814,0.035800344234079171,26.0,27,2905.0
Asteroid City,316.12700000000029,2023-06-30,131.0,5,4276925,18621635,-0.53,0.17857142857142858,0.023284749377888374,26.2,28,5626.0
Elemental,101.372,2023-06-30,175.0,5,12128492,89607297,-0.34,0.17857142857142858,0.031105581230003555,35.0,28,5626.0
Indiana Jones and the Dial of Destiny,9.302,2023-06-30,3725.0,6,60368101,60368101,0.0,0.21428571428571427,0.66210451475293286,620.83333333333337,28,5626.0
No Hard Feelings,113.071,2023-06-30,15.0,1,7857860,29668812,-0.48,0.035714285714285712,0.0026661926768574476,15.0,28,5626.0
Scarlet,34.438,2023-06-30,2.0,2,4301,56942,-0.44,0.071428571428571425,0.00035549235691432633,1.0,28,5626.0
The Blackening,25.857,2023-06-30,23.0,1,1438918,15430663,-0.53,0.035714285714285712,0.004088162104514753,23.0,28,5626.0
The Flash,212.295,2023-06-30,203.0,4,5236730,99487668,-0.65,0.14285714285714285,0.03608247422680412,50.75,28,5626.0
Transformers: Rise of the Beasts,2.339,2023-06-30,7.0,1,7353892,136463958,-0.37,0.035714285714285712,0.0012442232492001421,7.0,28,5626.0
Asteroid City,134.65899999999996,2023-07-07,442.0,5,2252795,24017135,-0.47,0.17241379310344829,0.26340882002383792,88.4,29,1678.0
Elemental,106.004,2023-07-07,125.0,6,10032422,109624302,-0.17,0.20689655172413793,0.074493444576877232,20.833333333333332,29,1678.0
Indiana Jones and the Dial of Destiny,64.48,2023-07-07,114.0,5,27421076,122126405,-0.55,0.17241379310344829,0.067938021454112041,22.8,29,1678.0
"Ruby Gillman, Teenage Kraken",8.233,2023-07-07,0.0,1,2846245,11646170,-0.48,0.034482758620689655,0.0,0.0,29,1678.0
Sound of Freedom,21.733999999999998,2023-07-07,450.0,3,19680879,41668249,0.0,0.10344827586206896,0.26817640047675806,150.0,29,1678.0
The Blackening,7.352,2023-07-07,23.0,1,610871,16936009,-0.58,0.034482758620689655,0.013706793802145411,23.0,29,1678.0
The Flash,152.50600000000003,2023-07-07,187.0,6,2265830,105210665,-0.57,0.20689655172413793,0.11144219308700834,31.166666666666668,29,1678.0
Afire,6.213,2023-07-14,1.0,1,38485,38485,0.0,0.026315789473684209,5.2576235541535223e-05,1.0,38,19020.0
Asteroid City,109.38699999999999,2023-07-14,3052.0,6,1184760,26373465,-0.47,0.15789473684210525,0.1604626708727655,508.66666666666669,38,19020.0
Elemental,143.32999999999996,2023-07-14,2666.0,8,9099221,125688508,-0.09,0.21052631578947367,0.14016824395373292,333.25,38,19020.0
Indiana Jones and the Dial of Destiny,36.652,2023-07-14,241.0,2,12268425,145628290,-0.55,0.052631578947368418,0.01267087276550999,120.5,38,19020.0
Insidious: The Red Door,6.612,2023-07-14,0.0,1,13001603,58087157,-0.61,0.026315789473684209,0.0,0.0,38,19020.0
Mission: Impossible Dead Reckoning Part One,3.305,2023-07-14,4.0,1,54688347,78491897,0.0,0.026315789473684209,0.00021030494216614089,4.0,38,19020.0
